sich an|schaffen	ich schaffe mir alle zwei jahre ein neues handy an.	
sich an|schließen	beim plogging kann man sich einer gruppe anschließen.	
sich ärgern	mein nachbar ärgert sich, wenn wir zu laut feiern.	
sich auf|halten	sie hält sich viel in der küche der wg auf.	
sich aus|kennen	ich kenne mich gut mit computern aus.	
sich aus|ruhen	wann ruhst du dich aus?	
sich bedanken	was für ein tolles geschenk! hast du dich schon bei oma bedankt?	
sich beeilen	beeil dich, wir warten!	
sich befinden	die kaffeeküche befindet sich neben dem eingang rechts.	
sich benehmen	du benimmst dich heute sehr komisch.	
sich beschäftigen	ich arbeite am gericht und beschäftige mich viel mit verbrechen.	
sich beschweren	frau koller beschwert sich manchmal über die nachbarn.	
sich beteiligen	luna möchte sich gerne aktiv am projekt „wildkatze“ beteiligen.	
sich beziehen	worauf bezieht sich ihre frage?	
sich eignen	coole fotos vom letzten urlaub eignen sich nicht für eine bewerbung.	
sich ein|setzen	er setzt sich für den schutz der nashörner ein.	
sich engagieren	jenny engagiert sich für den naturschutz.	
sich entscheiden	welches getränk möchtest du? hast du dich entschieden?	
sich entschließen	ich habe mich zu einem urlaub auf der alm entschlossen.	
sich ereignen	auf der autobahn hat sich ein schrecklicher unfall ereignet.	
sich erholen	ich will mich im urlaub erholen.	
sich erinnern	ich erinnere mich gern an die party vor einem jahr.	
sich erkälten	sie hat sich im zug erkältet.	
sich erkundigen	guten tag, ich wollte mich nach dem stand meiner bewerbung erkundigen.	
sich ernähren	ernähren sie sich gesund?	
sich gewöhnen	an den langen arbeitsweg habe ich mich gewöhnt.	
sich informieren	julia informiert sich auf der homepage über die firma.	
sich interessieren	interessierst du dich für tiere?	
sich irren	oh, entschuldigung! ich habe mich wohl im raum geirrt.	
sich konzentrieren	Wenn sie das handy ausmachen, können sie sich besser konzentrieren.	
sich kümmern	ich kümmere mich um meine katze.	
sich langweilen	wann langweilst du dich?	
sich leisten	die modernste technik können sich wegen der hohen kosten nicht alle leisten.	
sich lohnen	die reparatur ist wirklich teuer und lohnt sich nicht.	
sich registrieren	sie laden die app auf ihr handy herunter und registrieren sich.	
sich setzen	hallo, komm rein und setz dich!	
sich spiegeln	die wolken spiegeln sich im wasser.	
sich streiten	streitest du dich manchmal mit deinen freunden?	
sich überlegen	überlegen sie sich eine geschichte.	
sich um|sehen	sieh dich mal um: so viele leute sind heute da!	
sich unterhalten	ich hoffe, die gäste tanzen auf der party und unterhalten sich.	
sich verhalten	wie verhält man sich im alltag und in der arbeit richtig?	
sich verirren	ich habe mich im stadtzentrum verirrt.	
sich verlieben	ich habe mich frisch verliebt – in meine nachbarin.	
sich vor|nehmen	nimmst du dir an silvester immer etwas vor?	
sich vor|stellen	stell dir vor: ich habe ein vorstellungsgespräch!	
sich wohl|fühlen	Hier in kiel fühle ich mich wohl.	
