sich ärgern	mein nachbar ärgert sich, wenn wir zu laut feiern.	
sich aus|kennen	ich kenne mich gut mit computern aus.	
sich aus|ruhen	wann ruhst du dich aus?	
sich bedanken	was für ein tolles geschenk! hast du dich schon bei oma bedankt?	
sich beeilen	beeil dich, wir warten!	
sich beschweren	frau koller beschwert sich manchmal über die nachbarn.	
sich entscheiden	welches getränk möchtest du? hast du dich entschieden?	
sich gewöhnen	an den langen arbeitsweg habe ich mich gewöhnt.	
sich informieren	julia informiert sich auf der homepage über die firma.	
sich interessieren	interessierst du dich für tiere?	
sich konzentrieren	Wenn sie das handy ausmachen, können sie sich besser konzentrieren.	
sich kümmern	ich kümmere mich um meine katze.	
sich langweilen	wann langweilst du dich?	
sich leisten	die modernste technik können sich wegen der hohen kosten nicht alle leisten.	
sich registrieren	sie laden die app auf ihr handy herunter und registrieren sich.	
sich setzen	hallo, komm rein und setz dich!	
sich spiegeln	die wolken spiegeln sich im wasser.	
sich streiten	streitest du dich manchmal mit deinen freunden?	
sich überlegen	überlegen sie sich eine geschichte.	
sich um|sehen	sieh dich mal um: so viele leute sind heute da!	
sich unterhalten	ich hoffe, die gäste tanzen auf der party und unterhalten sich.	
sich verirren	ich habe mich im stadtzentrum verirrt.	
sich vor|stellen	stell dir vor: ich habe ein vorstellungsgespräch!	
sich wohl|fühlen	Hier in kiel fühle ich mich wohl.	
