sich ärgern	über + a.	mein nachbar ärgert sich über den lärm.
sich aus|kennen	mit + d.	ich kenne mich gut mit computern aus.
sich bedanken	bei + d.	was für ein tolles geschenk! hast du dich schon bei oma bedankt?
berichten	über + a.	die zeitung berichtet über einen unfall im stadtzentrum.
sich beschweren	über + a.	frau koller beschwert sich manchmal über die nachbarn.
denken	an + a.	an wen denkst du gerade?
deuten	auf + a.	deuten sie auf die bilder.
sich entscheiden	für/gegen + a. 	entscheidest du dich für eine reise nach berlin?
sich erinnern	an + a.	ich erinnere mich gern an die party vor einem jahr.
sich freuen	auf/über + a.	freust du dich auf die party morgen?
sich gewöhnen	an + a.	an den langen arbeitsweg habe ich mich gewöhnt.
sich informieren	über + a.	julia informiert sich über restaurants in köln.
sich interessieren	für + a.	interessierst du dich für tiere?
sich konzentrieren 	auf + a.	konzentrieren sie sich auf wichtige informationen im text.
sich registrieren	bei + d.	registrieren sie sich beim kundenservice und werden sie kunde.
sorgen	für + a.	ich sorge für drei katzen im haus.
sich spiegeln	in + d.	die wolken spiegeln sich im wasser.
sprechen	mit + d.	hast du schon mit deinem bruder gesprochen?
sich streiten	mit + d.	streitest du manchmal mit deinen freunden?
träumen	von + d.	viele menschen träumen von einem leben wie früher.
sich unterhalten	mit + d.	ich unterhalte mich gern mit meiner nachbarin.
verbringen	mit + d.	ich verbringe am liebsten zeit mit meiner familie.
verzichten	auf + a.	kannst du auf schokolade verzichten?
sich vor|bereiten	auf + a.	hast du dich gut auf die prüfung vorbereitet?
warten	auf + a.	er wartet auf den zug, der schon wieder verspätung hat.
