berichten	über + a.	die zeitung berichtet über einen unfall im stadtzentrum.
denken	an + a.	an wen denkst du gerade?
deuten	auf + a.	deuten sie auf die bilder.
sich erinnern	an + a.	ich erinnere mich gern an die party vor einem jahr.
sich freuen	auf/über + a.	freust du dich auf die party morgen?
sorgen	für + a.	ich sorge für drei katzen im haus.
sprechen	mit + d.	hast du schon mit deinem bruder gesprochen?
träumen	von + d.	viele menschen träumen von einem leben wie früher.
verbringen	mit + d.	ich verbringe am liebsten zeit mit meiner familie.
verzichten	auf + a.	kannst du auf schokolade verzichten?
sich vor|bereiten	auf + a.	hast du dich gut auf die prüfung vorbereitet?
warten	auf + a.	er wartet auf den zug, der schon wieder verspätung hat.
