word;exercise
diktieren;1/10c
auf (ohren auf!);1/11a
ice, der, -s;1/11a
zugnummer, die, -n;1/11a
bushaltestelle, die, -n;1/12b
gepäckband, das, -er;1/12b
tiergarten, der, -;1/12b
hauptbahnhof, der, -e;1/12c
alm, die, -en;1/13a
almsommer, der, -;1/13a
almurlaub, der, -e;1/13a
begeistert;1/13a
beinahe;1/13a
eher (insgesamt ist es eher einsam hier auf der alm.);1/13a
einsamkeit, die (sg.);1/13a
empfang, der (sg.) (hier auf dem berg gibt es keinen empfang für handys.);1/13a
entschließen (sich) (zu + d.), er entschließt, entschloss, hat entschlossen;1/13a
erholt;1/13a
erkälten (sich);1/13a
falls;1/13a
gebirge, das, -;1/13a
gegen (wir treffen uns gegen 8 uhr, okay?);1/13a
heim|fahren, er fährt heim, fuhr heim, ist heimgefahren;1/13a
heimweh, das (sg.);1/13a
hierher;1/13a
hütte, die, -n;1/13a
käserei, die, -en;1/13a
melken;1/13a
momentan;1/13a
neuigkeit, die, -en;1/13a
rückblick, der, -e;1/13a
sonnenaufgang, der, -e;1/13a
terminkalender, der, -;1/13a
vorbei sein;1/13a
zeitpunkt, der, -e;1/13a
almaufenthalt, der, -e;1/13b
mit|arbeiten;1/13b
ferienclub, der, -s;1/13c
olivenbaum, der, -e;1/13c
weihnachtsferien, die (pl.);1/13c
faulenzen;1/1a
giftig;1/1a
himmel, der, -;1/1a
im freien;1/1a
insekt, das, -en;1/1a
netz, das, -e (er hat nachts ein netz vor dem zelt.);1/1a
pilz, der, -e;1/1a
schutz, der (sg.);1/1a
zelten;1/1a
angenehm;1/2
aussicht, die, -en;1/2
dabei sein (für + a.) (im urlaub am meer ist für jeden etwas dabei.);1/2
drüben;1/2
erlebnis, das, -se;1/2
genuss, der (sg.);1/2
herrlich;1/2
küste, die, -n;1/2
reif;1/2
sand, der (sg.);1/2
traube, die, -n;1/2
urlaubsgruß, der, -e;1/2
derselbe, dasselbe, dieselbe;1/3b
entfernung, die, -en;1/3b
ferienhaus, das, -er;1/3b
gründlich;1/3b
rechtzeitig;1/3b
schick;1/3b
typ, der, -en;1/3b
urlaubstyp, der, -en;1/3b
urlaubsziel, das, -e;1/3b
chat, der, -s;1/4a
erholen (sich);1/4a
kompromiss, der, -e;1/4a
meinetwegen;1/4a
sorry (ugs.);1/4a
urlaubsplanung, die, -en;1/4a
wieso;1/4a
zu (ich habe keine lust, lange nach einer ferienwohnung zu suchen.);1/4a
entspannend;1/5a
erfahren, er erfährt, erfuhr, hat erfahren;1/5c
schifffahrt, die, -en;1/6a
wellnesshotel, das, -s;1/6a
ca.;1/7
enthalten sein (in + d.) (in der küche ist viel zu viel essen enthalten.);1/7
fahrtzeit, die, -en;1/7
gästehaus, das, -er;1/7
halbpension, die (sg.);1/7
höchstens;1/7
