Word,Lecture,Ubung
einverstanden,1,8
renovieren,1,1
reiten,1,1
was,1,6
WC,1,9
Ausbildung,1,1
aus,1,9
Augenoptikerin,1,3
Überstunde,1,6
fließend,1,1
Flohmarkt,1,8
folgen,1,0
folgend,1,9
Platz,1,9
Aufenthalt,1,9
weil,1,7
fühlen,1,9
Pferd,1,1
weiterhelfen,1,9
organisieren,1,3
ganz,1,0
weitersuchen,1,3
Note,1,3
geboren,1,1
Nebensatz,1,7
Arbeit,1,3
Rentner,1,1
Gegenstand,1,10
fast,1,9
Reservierung,1,9
Biologie,1,3
bitter,1,1
teilnehmen,1,3
dafür,1,9
begründen,1,7
Stadtzentrum,1,1
spätestens,1,9
spannend,1,3
beenden,1,3
Sinn,1,9
Eingang,1,9
Verein,1,3
sehen,1,1
Bankkaufmann,1,1
Bankkauffrau,1,1
empfangen,1,9
von,1,3
von,1,10
scharf,1,1
auswählen,1,9
sauer,1,1
vorschlagen,1,8
salzig,1,1
rufen,1,9
romantisch,1,3
Rentnerin,1,1
gemeinsam,1,8
Augenoptiker,1,3
Genitiv,1,3
Mathematik,1,3
zusammenleben,1,3
informieren,1,9
zusagen,1,8
liegen,1,1
also,1,1
Hauptsatz,1,7
Grippe,1,6
konjugiert,1,0
Absagen,1,8
Lernerfahrung,1,10
heiraten,1,3
zuhören,1,10
abschließen,1,3
Land,1,1
Hochzeit,1,3
Zigarette,1,9
ändern,1,8
Handy,1,9
anmelden,1,3
mieten,1,3
geschieden,1,1
Angst,1,9
betonen,2,6
sehen,2,8
besuchen,2,7
Traum-,2,12
Schulzeit,2,5
Schulweg,2,5
Schuluniform,2,4
Schultyp,2,11
Schulsystem,2,11
üben,2,9
Hotelkauffrau,2,1
Kontakt,2,3
Schulplattform,2,3
überraschen,2,5
Schulkleidung,2,5
England,2,1
Hotelkaufmann,2,1
ehrlich,2,4
Klassenfahrt,2,5
jobben,2,1
Chemie,2,11
Steckbrief,2,1
Dauer,2,11
Stundenplan,2,12
Süd-,2,1
Klassenzimmer,2,12
Cafeteria,2,3
Bundesland,2,11
Informatik,2,1
Klasse,2,1
Sozialkunde,2,11
Englischlehrer,2,3
sozial,2,7
Direktor,2,3
Direktorin,2,3
Theatergruppe,2,5
Sommerferien,2,3
je,2,3
so,2,5
streng,2,3
Englischlehrerin,2,3
heute,2,3
Schülerin,2,1
Grundschule,2,11
Realschulabschluss,2,11
Mathe,2,11
